epoch,client_0_accuracy,client_0_loss,client_1_accuracy,client_1_loss,client_2_accuracy,client_2_loss,client_3_accuracy,client_3_loss,client_4_accuracy,client_4_loss,client_5_accuracy,client_5_loss,client_6_accuracy,client_6_loss,client_7_accuracy,client_7_loss,client_8_accuracy,client_8_loss,client_9_accuracy,client_9_loss,avg_accuracy,avg_loss
48,0.6563,2.367475923919678,0.6563,2.367475923919678,0.6563,2.367475923919678,0.6563,2.367475923919678,0.6563,2.367475923919678,0.6563,2.367475923919678,0.6563,2.367475923919678,0.6563,2.367475923919678,0.6563,2.367475923919678,0.6563,2.367475923919678,0.6563,2.367475923919678
49,0.7044,2.28856255569458,0.7044,2.28856255569458,0.7044,2.28856255569458,0.7044,2.28856255569458,0.7044,2.28856255569458,0.7044,2.28856255569458,0.7044,2.28856255569458,0.7044,2.28856255569458,0.7044,2.28856255569458,0.7044,2.28856255569458,0.7043999999999999,2.28856255569458
50,0.706,2.3198449291229246,0.706,2.3198449291229246,0.706,2.3198449291229246,0.706,2.3198449291229246,0.706,2.3198449291229246,0.706,2.3198449291229246,0.706,2.3198449291229246,0.706,2.3198449291229246,0.706,2.3198449291229246,0.706,2.3198449291229246,0.7059999999999998,2.319844929122925
51,0.7099,2.304796252441406,0.7099,2.304796252441406,0.7099,2.304796252441406,0.7099,2.304796252441406,0.7099,2.304796252441406,0.7099,2.304796252441406,0.7099,2.304796252441406,0.7099,2.304796252441406,0.7099,2.304796252441406,0.7099,2.304796252441406,0.7099,2.304796252441406
52,0.7064,2.3663569198608396,0.7064,2.3663569198608396,0.7064,2.3663569198608396,0.7064,2.3663569198608396,0.7064,2.3663569198608396,0.7064,2.3663569198608396,0.7064,2.3663569198608396,0.7064,2.3663569198608396,0.7064,2.3663569198608396,0.7064,2.3663569198608396,0.7064000000000001,2.36635691986084
53,0.7214,2.405801959991455,0.7214,2.405801959991455,0.7214,2.405801959991455,0.7214,2.405801959991455,0.7214,2.405801959991455,0.7214,2.405801959991455,0.7214,2.405801959991455,0.7214,2.405801959991455,0.7214,2.405801959991455,0.7214,2.405801959991455,0.7214,2.4058019599914546
54,0.7165,2.433202040863037,0.7165,2.433202040863037,0.7165,2.433202040863037,0.7165,2.433202040863037,0.7165,2.433202040863037,0.7165,2.433202040863037,0.7165,2.433202040863037,0.7165,2.433202040863037,0.7165,2.433202040863037,0.7165,2.433202040863037,0.7165,2.433202040863037
55,0.7231,2.417252151489258,0.7231,2.417252151489258,0.7231,2.417252151489258,0.7231,2.417252151489258,0.7231,2.417252151489258,0.7231,2.417252151489258,0.7231,2.417252151489258,0.7231,2.417252151489258,0.7231,2.417252151489258,0.7231,2.417252151489258,0.7230999999999999,2.417252151489258
56,0.7296,2.3780716926574708,0.7296,2.3780716926574708,0.7296,2.3780716926574708,0.7296,2.3780716926574708,0.7296,2.3780716926574708,0.7296,2.3780716926574708,0.7296,2.3780716926574708,0.7296,2.3780716926574708,0.7296,2.3780716926574708,0.7296,2.3780716926574708,0.7295999999999999,2.3780716926574708
57,0.721,2.3612005405426024,0.721,2.3612005405426024,0.721,2.3612005405426024,0.721,2.3612005405426024,0.721,2.3612005405426024,0.721,2.3612005405426024,0.721,2.3612005405426024,0.721,2.3612005405426024,0.721,2.3612005405426024,0.721,2.3612005405426024,0.721,2.361200540542602
58,0.7309,2.3532802425384522,0.7309,2.3532802425384522,0.7309,2.3532802425384522,0.7309,2.3532802425384522,0.7309,2.3532802425384522,0.7309,2.3532802425384522,0.7309,2.3532802425384522,0.7309,2.3532802425384522,0.7309,2.3532802425384522,0.7309,2.3532802425384522,0.7309,2.3532802425384522
59,0.738,2.3847170490264893,0.738,2.3847170490264893,0.738,2.3847170490264893,0.738,2.3847170490264893,0.738,2.3847170490264893,0.738,2.3847170490264893,0.738,2.3847170490264893,0.738,2.3847170490264893,0.738,2.3847170490264893,0.738,2.3847170490264893,0.7379999999999999,2.384717049026489
60,0.743,2.4078389678955077,0.743,2.4078389678955077,0.743,2.4078389678955077,0.743,2.4078389678955077,0.743,2.4078389678955077,0.743,2.4078389678955077,0.743,2.4078389678955077,0.743,2.4078389678955077,0.743,2.4078389678955077,0.743,2.4078389678955077,0.7430000000000001,2.4078389678955077
61,0.7332,2.4540555267333986,0.7332,2.4540555267333986,0.7332,2.4540555267333986,0.7332,2.4540555267333986,0.7332,2.4540555267333986,0.7332,2.4540555267333986,0.7332,2.4540555267333986,0.7332,2.4540555267333986,0.7332,2.4540555267333986,0.7332,2.4540555267333986,0.7332,2.4540555267333986
62,0.7468,2.469638803100586,0.7468,2.469638803100586,0.7468,2.469638803100586,0.7468,2.469638803100586,0.7468,2.469638803100586,0.7468,2.469638803100586,0.7468,2.469638803100586,0.7468,2.469638803100586,0.7468,2.469638803100586,0.7468,2.469638803100586,0.7468000000000001,2.469638803100586
63,0.7482,2.5052488441467284,0.7482,2.5052488441467284,0.7482,2.5052488441467284,0.7482,2.5052488441467284,0.7482,2.5052488441467284,0.7482,2.5052488441467284,0.7482,2.5052488441467284,0.7482,2.5052488441467284,0.7482,2.5052488441467284,0.7482,2.5052488441467284,0.7482,2.5052488441467284
64,0.7523,2.4985838665008546,0.7523,2.4985838665008546,0.7523,2.4985838665008546,0.7523,2.4985838665008546,0.7523,2.4985838665008546,0.7523,2.4985838665008546,0.7523,2.4985838665008546,0.7523,2.4985838665008546,0.7523,2.4985838665008546,0.7523,2.4985838665008546,0.7523,2.4985838665008546
65,0.749,2.5188730293273927,0.749,2.5188730293273927,0.749,2.5188730293273927,0.749,2.5188730293273927,0.749,2.5188730293273927,0.749,2.5188730293273927,0.749,2.5188730293273927,0.749,2.5188730293273927,0.749,2.5188730293273927,0.749,2.5188730293273927,0.7489999999999999,2.518873029327392
